,Titile,publish_date,views,Likes,comment_count
0,Moving On,2024-04-22,8331,403,89
1,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30,2664,71,22
2,A Data Dream Come True,2023-11-17,2281,94,23
3,The Death of the Full-Time Job (Rise of the Contractor),2023-09-22,6198,410,77
4,How to Survive a Down Data Job Market,2023-09-05,17342,571,63
5,The Harsh Reality of the Data Job Market,2023-08-24,107984,2611,290
6,7 Industries AI will Aggressively Disrupt,2023-08-14,6410,246,42
7,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,4363,133,48
8,7 Enticing Jobs AI Will Create,2023-07-24,4804,199,37
9,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4164,144,31
10,Exciting Announcement!,2023-06-23,6684,298,50
11,AI: A Customer Service Revolution?,2023-05-26,3973,123,35
12,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,47865,1518,59
13,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,35217,1477,77
14,This AI question will determine our future,2023-04-06,4314,261,37
15,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,71436,834,78
16,Your current portfolio is actually hurting you #shorts,2023-03-30,8740,497,7
17,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,7742,412,2
18,you're job searching wrong. #shorts,2023-03-23,4496,267,3
19,The Economics of Data Roles #shorts,2023-03-21,10196,619,12
20,Why your phone knows everything you say #shorts,2023-03-18,3566,164,8
21,Read these for a successful career. #shorts,2023-03-16,3225,251,2
22,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2842,54,5
23,How I Realized I Was a Bad Manager #shorts,2023-03-07,2971,140,1
24,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,20776,770,51
25,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,8555,277,13
26,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2800,171,2
27,Learning On the companies dime #shorts,2023-02-24,3254,178,1
28,The Best Way to Transition to Data Science? #shorts,2023-02-21,4515,280,6
29,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,7331,407,6
30,Don't Go into Data for the Money #shorts,2023-02-15,3822,221,12
31,First Data Science Project? Watch This.,2023-02-13,7840,377,24
32,How to Approach Applying for a Data Role #shorts,2023-02-08,3704,245,7
33,The Hard Reality of Data Science Work #shorts,2023-02-06,16976,899,17
34,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4919,197,6
35,These 3 Things Make Data Science Special #shorts,2023-02-01,4406,349,7
36,Will Data Science Be Automated? #shorts,2023-01-27,10421,435,9
37,Is Data Science A Good Fit For You? #shorts,2023-01-25,5223,298,11
38,5 Books I Wish I Read Earlier In My Career,2023-01-23,9678,523,51
39,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,10010,780,16
40,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6379,477,10
41,How long does it take to become a Data Scientist? #shorts,2023-01-12,7452,513,6
42,Where & how to start your Data Science Journey #shorts,2023-01-09,7133,428,2
43,How I Would NOT Learn Data Science in 2023.,2023-01-03,128753,4200,256
44,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4965,207,28
45,The Essential Programming Concepts For Learning Data Science,2022-11-14,20830,858,46
46,The Data Content House: What You Missed,2022-10-07,10591,348,49
47,Is Data Science A Good Career?,2022-09-29,63779,1977,140
48,IRON ANALYST (Teaser) #shorts,2022-09-27,5674,364,24
49,When a New Data Scientist Joins The Team,2022-08-29,16792,755,134
50,State of Data Science - Web Data,2022-08-05,10490,351,34
51,Data Science Town Hall - State of Data Science,2022-08-04,10017,367,37
52,The Programming Roadmap For Data Science,2022-07-29,28277,1320,63
53,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,95041,3413,94
54,Can AI Fix my Baseball Swing?,2022-06-10,7899,344,68
55,Every Data Scientist... (funny!),2022-05-24,17607,856,146
56,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,16015,425,64
57,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,70445,1730,85
58,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,22148,910,110
59,Data Scientists VS NFT Scam,2022-03-03,4904,189,41
60,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,11397,514,144
61,What Professional Data Scientists ACTUALLY Do,2022-02-14,100668,3456,187
62,Can You Analyze My Data Better Than I Can?,2022-01-31,7541,324,60
63,Giving Back to My Most Engaged Subscribers!,2022-01-28,2340,118,87
64,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,55065,1297,146
65,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8986,427,82
66,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8644,255,33
67,The Only Data Science Explanation You Need,2022-01-10,67628,2298,172
68,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14580,646,144
69,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,345071,15004,530
70,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,16033,510,67
71,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,8111,572,25
72,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,25105,1185,143
73,Why Is Data Engineering So HOT Right Now?,2021-11-26,29739,1100,137
74,Is Data Science Dying?,2021-11-19,125906,3907,360
75,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8563,398,113
76,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3647,202,44
77,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,14224,305,39
78,ML Ops: What is it REALLY?,2021-10-22,7260,285,66
79,Business Skills for Data Science: What are they REALLY?,2021-10-18,6945,303,50
80,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2220,122,5
81,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,6028,283,64
82,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,13078,534,108
83,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10394,438,32
84,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,42339,1629,32
85,How I Learned to Learn.,2021-07-31,51022,2359,209
86,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,11251,612,51
87,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2467,92,30
88,Why are APIs Important for Data Science?,2021-07-09,10698,471,95
89,Is Your Phone REALLY Listening to You?,2021-07-03,5261,279,116
90,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,17220,645,123
91,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4123,225,39
92,#66DaysOfData - What is it? #shorts,2021-06-11,9533,400,54
93,A Quick Data Science Project Tip! #SHORTS,2021-06-03,17003,1033,89
94,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7552,391,195
95,How Data Science Projects Pay Off,2021-05-22,11057,609,146
96,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10761,490,134
97,What is a lambda function (python)? #shorts,2021-05-13,16186,981,49
98,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,34060,1753,63
99,What is Pandas? (Data & Data Science) #shorts,2021-04-30,25199,1293,85
100,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77738,3436,284
101,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23673,697,85
102,Why You Probably Won't Become a Data Scientist,2021-04-09,139245,4038,474
103,How to Go From Data Analyst to Data Scientist,2021-04-02,55609,1577,178
104,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,4029,139,92
105,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18825,361,108
106,My Regrets as a Data Science Student,2021-03-12,24106,883,112
107,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3853,195,83
108,What is the Future of my Comment Leaderboard Project?,2021-02-26,5613,201,81
109,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,7062,176,51
110,Why I Quit Data Science,2021-02-12,105559,2352,345
111,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10837,563,116
112,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,7043,292,126
113,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,10284,312,52
114,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,24064,711,134
115,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,40195,1172,148
116,What is the #66DaysOfData?,2020-12-26,71032,2337,200
117,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131834,5950,488
118,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,11176,403,131
119,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23804,725,324
120,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,28785,873,160
121,6 Lessons from #66DaysOfData,2020-11-13,6785,338,93
122,100K Channel Update + AMA Stream!,2020-11-12,2324,126,21
123,Find a Data Science Project With These 3 Techniques,2020-11-06,17102,734,106
124,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,28390,696,155
125,git for Data Science Made Simple... (Hopefully),2020-10-23,21793,917,90
126,The PODCAST you might have asked for?,2020-10-19,2130,93,44
127,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6814,452,113
128,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,14807,430,47
129,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,7149,150,62
130,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,12561,584,83
131,Sh*t Data Scientists Say (Parody),2020-10-05,9771,582,144
132,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8647,364,93
133,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7108,286,59
134,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,12037,290,69
135,5 Essential Data Science Projects for Your Portfolio,2020-09-26,74688,3137,207
136,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5252,200,64
137,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,14426,535,60
138,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7583,253,34
139,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5138,197,56
